name,from,to,departure,fare_sitting,fare_sleeper
Eastern Star Travels 0001,Howrah Junction,Kolkata Sealdah,00:23,199,348
North Bengal Express Bus 0002,Howrah Junction,Kolkata Sealdah,02:56,209,363
GreenLine Travels 0003,Howrah Junction,Kolkata Sealdah,05:29,219,379
Royal Roadways 0004,Howrah Junction,Kolkata Sealdah,08:02,229,394
CityLink Travels 0005,Howrah Junction,Kolkata Sealdah,10:35,239,410
Eastern Star Travels 0006,Howrah Junction,Asansol Junction,02:18,319,534
North Bengal Express Bus 0007,Howrah Junction,Asansol Junction,04:51,329,549
GreenLine Travels 0008,Howrah Junction,Asansol Junction,07:24,339,565
Royal Roadways 0009,Howrah Junction,Asansol Junction,09:57,349,580
CityLink Travels 0010,Howrah Junction,Asansol Junction,12:30,359,596
Eastern Star Travels 0011,Howrah Junction,Kharagpur Junction,04:13,439,720
North Bengal Express Bus 0012,Howrah Junction,Kharagpur Junction,06:46,449,735
GreenLine Travels 0013,Howrah Junction,Kharagpur Junction,09:19,459,751
Royal Roadways 0014,Howrah Junction,Kharagpur Junction,11:52,469,766
CityLink Travels 0015,Howrah Junction,Kharagpur Junction,14:25,479,782
Eastern Star Travels 0016,Howrah Junction,New Jalpaiguri Junction,06:08,378,625
North Bengal Express Bus 0017,Howrah Junction,New Jalpaiguri Junction,08:41,388,641
GreenLine Travels 0018,Howrah Junction,New Jalpaiguri Junction,11:14,398,656
Royal Roadways 0019,Howrah Junction,New Jalpaiguri Junction,13:47,408,672
CityLink Travels 0020,Howrah Junction,New Jalpaiguri Junction,16:20,418,687
Eastern Star Travels 0021,Howrah Junction,Durgapur,08:03,242,415
North Bengal Express Bus 0022,Howrah Junction,Durgapur,10:36,252,430
GreenLine Travels 0023,Howrah Junction,Durgapur,13:09,262,446
Royal Roadways 0024,Howrah Junction,Durgapur,15:42,272,461
CityLink Travels 0025,Howrah Junction,Durgapur,18:15,282,477
Eastern Star Travels 0026,Howrah Junction,Malda Town,09:58,354,588
North Bengal Express Bus 0027,Howrah Junction,Malda Town,12:31,364,604
GreenLine Travels 0028,Howrah Junction,Malda Town,15:04,374,619
Royal Roadways 0029,Howrah Junction,Malda Town,17:37,384,635
CityLink Travels 0030,Howrah Junction,Malda Town,20:10,394,650
Eastern Star Travels 0031,Howrah Junction,Burdwan Junction,11:53,256,436
North Bengal Express Bus 0032,Howrah Junction,Burdwan Junction,14:26,266,452
GreenLine Travels 0033,Howrah Junction,Burdwan Junction,16:59,276,467
Royal Roadways 0034,Howrah Junction,Burdwan Junction,19:32,286,483
CityLink Travels 0035,Howrah Junction,Burdwan Junction,22:05,296,498
Eastern Star Travels 0036,Howrah Junction,Santragachi Junction,13:48,358,594
North Bengal Express Bus 0037,Howrah Junction,Santragachi Junction,16:21,368,610
GreenLine Travels 0038,Howrah Junction,Santragachi Junction,18:54,378,625
Royal Roadways 0039,Howrah Junction,Santragachi Junction,21:27,388,641
CityLink Travels 0040,Howrah Junction,Santragachi Junction,00:00,398,656
Eastern Star Travels 0041,Howrah Junction,New Cooch Behar,15:43,470,768
North Bengal Express Bus 0042,Howrah Junction,New Cooch Behar,18:16,480,784
GreenLine Travels 0043,Howrah Junction,New Cooch Behar,20:49,490,799
Royal Roadways 0044,Howrah Junction,New Cooch Behar,23:22,500,815
CityLink Travels 0045,Howrah Junction,New Cooch Behar,01:55,510,830
Eastern Star Travels 0046,Howrah Junction,Rampurhat Junction,17:38,134,247
North Bengal Express Bus 0047,Howrah Junction,Rampurhat Junction,20:11,144,263
GreenLine Travels 0048,Howrah Junction,Rampurhat Junction,22:44,154,278
Royal Roadways 0049,Howrah Junction,Rampurhat Junction,01:17,164,294
CityLink Travels 0050,Howrah Junction,Rampurhat Junction,03:50,174,309
Eastern Star Travels 0051,Howrah Junction,Bandel Junction,19:33,241,413
North Bengal Express Bus 0052,Howrah Junction,Bandel Junction,22:06,251,429
GreenLine Travels 0053,Howrah Junction,Bandel Junction,00:39,261,444
Royal Roadways 0054,Howrah Junction,Bandel Junction,03:12,271,460
CityLink Travels 0055,Howrah Junction,Bandel Junction,05:45,281,475
Eastern Star Travels 0056,Howrah Junction,Kolkata Railway Station,21:28,359,596
North Bengal Express Bus 0057,Howrah Junction,Kolkata Railway Station,00:01,369,611
GreenLine Travels 0058,Howrah Junction,Kolkata Railway Station,02:34,379,627
Royal Roadways 0059,Howrah Junction,Kolkata Railway Station,05:07,389,642
CityLink Travels 0060,Howrah Junction,Kolkata Railway Station,07:40,399,658
