name,from,to,departure,fare_sl,fare_1ac,fare_2ac,fare_3ac
Eastern India Express 0001,Howrah Junction,Kolkata Sealdah,01:17,263,987,109,496
Ganga Valley Express 0002,Howrah Junction,Kolkata Sealdah,02:52,275,1028,114,517
North Bengal Express 0003,Howrah Junction,Kolkata Sealdah,04:27,287,1070,118,539
Kolkata Intercity Express 0004,Howrah Junction,Kolkata Sealdah,06:02,299,1111,123,559
Bihar Bengal Express 0005,Howrah Junction,Kolkata Sealdah,07:37,311,1152,128,580
Sundarban Express 0006,Howrah Junction,Kolkata Sealdah,09:12,323,1194,132,602
Teesta Express 0007,Howrah Junction,Kolkata Sealdah,10:47,335,1235,137,623
Rajdhani Regional Express 0008,Howrah Junction,Kolkata Sealdah,12:22,347,1277,142,644
East Corridor Express 0009,Howrah Junction,Kolkata Sealdah,13:57,359,1318,146,665
Jan Seva Express 0010,Howrah Junction,Kolkata Sealdah,15:32,371,1359,151,686
Eastern India Express 0011,Howrah Junction,Asansol Junction,04:08,437,1587,177,802
Ganga Valley Express 0012,Howrah Junction,Asansol Junction,05:43,449,1629,181,824
North Bengal Express 0013,Howrah Junction,Asansol Junction,07:18,461,1670,186,845
Kolkata Intercity Express 0014,Howrah Junction,Asansol Junction,08:53,473,1711,190,866
Bihar Bengal Express 0015,Howrah Junction,Asansol Junction,10:28,485,1753,195,887
Sundarban Express 0016,Howrah Junction,Asansol Junction,12:03,497,1794,200,908
Teesta Express 0017,Howrah Junction,Asansol Junction,13:38,509,1836,204,930
Rajdhani Regional Express 0018,Howrah Junction,Asansol Junction,15:13,521,1877,209,951
East Corridor Express 0019,Howrah Junction,Asansol Junction,16:48,533,1918,214,971
Jan Seva Express 0020,Howrah Junction,Asansol Junction,18:23,545,1960,218,993
Eastern India Express 0021,Howrah Junction,Kharagpur Junction,07:00,610,2184,244,1107
Ganga Valley Express 0022,Howrah Junction,Kharagpur Junction,08:35,622,2225,248,1129
North Bengal Express 0023,Howrah Junction,Kharagpur Junction,10:10,634,2267,253,1150
Kolkata Intercity Express 0024,Howrah Junction,Kharagpur Junction,11:45,646,2308,258,1170
Bihar Bengal Express 0025,Howrah Junction,Kharagpur Junction,13:20,658,2350,262,1192
